r1	r2	r3	r4	r5	d
4	2	4	2	2	abstraktnost
2	2	4	2	3	abstraktnost
5	5	4	1	4	abstraktnost
3	5	3	1	3	abstraktnost
5	2	4	2	3	abstraktnost
4	2	4	2	2	abstraktnost
2	2	3	2	3	abstraktnost
3	4	2	2	2	abstraktnost
4	1	3	2	2	abstraktnost
3	2	4	3	1	abstraktnost
2	4	3	3	4	abstraktnost
4	2	4	1	1	abstraktnost
3	5	5	4	5	abstraktnost
4	4	4	1	4	abstraktnost
4	4	3	3	3	abstraktnost
4	2	3	1	2	abstraktnost
3	2	4	2	1	abstraktnost
4	4	3	2	4	abstraktnost
5	5	5	4	5	abstraktnost
3	2	4	2	2	abstraktnost
3	2	3	2	2	abstraktnost
2	1	3	1	1	abstraktnost
3	2	3	1	1	abstraktnost
2	1	4	1	2	abstraktnost
4	4	3	4	3	abstraktnost
4	1	2	1	2	abstraktnost
2	5	3	1	2	abstraktnost
4	1	4	2	2	abstraktnost
4	3	3	1	4	abstraktnost
3	1	4	1	2	abstraktnost
4	5	4	2	4	abstraktnost
4	4	4	2	2	abstraktnost
2	1	1	1	1	abstraktnost
2	2	4	1	2	abstraktnost
5	1	4	2	1	abstraktnost
4	2	3	1	1	abstraktnost
1	2	2	1	1	abstraktnost
3	2	1	1	1	abstraktnost
3	2	5	1	4	abstraktnost
4	4	5	2	5	abstraktnost
5	5	5	3	3	abstraktnost
3	2	4	2	4	abstraktnost
2	1	3	1	2	abstraktnost
5	1	2	2	3	abstraktnost
3	3	3	1	4	abstraktnost
3	4	3	1	2	abstraktnost
4	5	5	4	4	abstraktnost
2	2	4	1	2	abstraktnost
4	4	4	1	3	abstraktnost
3	1	2	1	4	abstraktnost
4	2	1	1	2	abstraktnost
2	4	3	1	1	abstraktnost
3	4	2	1	3	abstraktnost
4	3	3	1	2	abstraktnost
3	4	4	1	3	abstraktnost
4	4	4	3	3	abstraktnost
4	2	3	2	2	abstraktnost
4	2	4	1	1	abstraktnost
4	2	3	2	1	abstraktnost
3	2	5	1	3	abstraktnost
5	1	3	2	3	abstraktnost
3	1	3	1	3	abstraktnost
5	4	3	2	4	abstraktnost
4	4	4	2	4	abstraktnost
3	4	5	1	3	abstraktnost
3	2	3	1	3	abstraktnost
2	1	3	1	3	abstraktnost
2	1	4	1	2	abstraktnost
4	3	4	2	2	abstraktnost
4	2	4	1	2	abstraktnost
2	1	4	1	2	abstraktnost
3	5	4	1	4	abstraktnost
3	4	4	1	3	abstraktnost
4	2	3	1	3	abstraktnost
1	1	3	1	2	abstraktnost
3	4	3	1	3	abstraktnost
2	2	3	1	1	abstraktnost
4	1	3	1	2	abstraktnost
2	2	3	1	3	abstraktnost
4	4	3	1	4	abstraktnost
4	4	4	1	4	abstraktnost
5	2	3	1	3	abstraktnost
3	5	4	1	5	abstraktnost
